,Relatedness KIn,Log liklihood ratio (KIn),Relatedness READ,Z_upper (READ),Z_lower (READ),Relatedness lcMLkin,pair,nSNPs
173,First Degree,0.547969632785545,IdenticalTwins/SameIndividual,0.0178548930275,,too low coverage,FMW_POST47,82
174,Second Degree,0.04819416371594798,First Degree,0.130804297382,-0.506628483563,too low coverage,FMW_UNTA121FK61,48
175,Third Degree,0.033981447598080194,Unrelated,,-0.668289935148,too low coverage,FMW_UNTA851336,149
176,Second Degree,0.055470860186630944,Unrelated,,-0.67799009101,too low coverage,HUGO167_OBKR6,1073
177,Third Degree,0.014537845790584925,Unrelated,,-0.723376527066,too low coverage,HUGO167_OBKR82,506
178,Second Degree,0.09021439979672152,Unrelated,,-0.0288228322929,too low coverage,HUGO167_OTTM100,258
179,Second Degree,0.6197694305379855,Unrelated,,-0.535103109458,too low coverage,HUGO167_OTTM109,660
180,Second Degree,0.12635684868519093,Unrelated,,-0.317594753113,too low coverage,HUGO167_OTTM141,900
181,Third Degree,0.05701291482307624,Unrelated,,-0.136754456587,too low coverage,HUGO167_OTTM79,370
182,Third Degree,0.04481156977202262,Unrelated,,-0.570656276447,too low coverage,HUGO167_OTTM97,242
183,Second Degree,0.3509327858093059,Unrelated,,-0.0523987571242,too low coverage,HUGO167_UNTA58149,785
184,Third Degree,0.10988920438148853,Unrelated,,-1.71577924922,too low coverage,HUGO167_UNTA58152,2016
185,Second Degree,0.6618644261410509,Unrelated,,-0.572964330053,too low coverage,HUGO167_UNTA851336,3366
186,Second Degree,0.7736918572215927,Unrelated,,-0.204491289596,too low coverage,HUGO167_UNTA89FK231,1006
187,Third Degree,0.1819083144187061,Unrelated,,-2.61696950805,too low coverage,HUGO167_WEHR1414,4935
188,Third Degree,0.09629035657280838,Unrelated,,-0.842632079424,too low coverage,OBKR47_OTTM100,599
189,Second Degree,0.12512506299165693,Unrelated,,-0.200845265976,too low coverage,OBKR47_OTTM110,492
190,Third Degree,0.03081457733489401,Unrelated,,-1.1832928552,too low coverage,OBKR47_OTTM141A,395
191,Third Degree,0.2269109359976369,Unrelated,,-1.05088087813,too low coverage,OBKR47_OTTM79,753
192,Third Degree,0.8236909367113299,Unrelated,,-0.446030370948,too low coverage,OBKR47_OTTM91,4178
193,Third Degree,0.16343549229662813,Unrelated,,-1.18179731587,too low coverage,OBKR47_UNTA121FK61,1502
194,Third Degree,0.5041765027190195,Unrelated,,-1.41437723282,too low coverage,OBKR47_WEHR1193,4567
195,Third Degree,0.5751734805039064,Unrelated,,-0.267705570334,too low coverage,OBKR6_OBKR81,3381
196,Second Degree,0.2549769636407291,Unrelated,,-0.182697053407,too low coverage,OBKR6_OBKR82,877
197,Third Degree,0.026388493303784344,Unrelated,,-1.14363687483,too low coverage,OBKR6_OTTM152,2570
198,Second Degree,0.2052620423951339,Unrelated,,-0.199372522511,too low coverage,OBKR6_OTTM92,745
199,Third Degree,0.0952493897004274,Unrelated,,-0.158118896295,too low coverage,OBKR6_OTTM97,383
200,Third Degree,0.01976844798480215,Unrelated,,-0.635953397773,too low coverage,OBKR6_POST85,1168
201,Third Degree,0.11924019483541315,Unrelated,,-0.120273245835,too low coverage,OBKR6_UNTA121FK61,1231
202,Third Degree,1.344154557076649,Unrelated,,-2.33963675278,too low coverage,OBKR66_OBKR82,7608
203,Third Degree,0.5877186656196045,Unrelated,,-2.28574554736,too low coverage,OBKR66_OTTM141A,2719
204,Second Degree,0.6805113675570738,Unrelated,,-0.638026964767,too low coverage,OBKR66_POST2,9980
205,Third Degree,3.0948552573820507,Unrelated,,-6.06469726208,3rd-5th degree,OBKR67_OBKR80,280504
206,Third Degree,0.3375038427730601,Unrelated,,-1.99168815638,too low coverage,OBKR73_OBKR84,2816
207,Third Degree,0.5253585045199429,Unrelated,,-1.56546182655,too low coverage,OBKR73_OTTM109,2840
208,Third Degree,0.03248375376745116,Unrelated,,-1.648809597,too low coverage,OBKR73_OTTM79,1454
209,Third Degree,0.16312790865760007,Unrelated,,-1.34834716698,too low coverage,OBKR73_OTTM97,917
210,Third Degree,0.20750577062710812,Unrelated,,-1.93037267713,too low coverage,OBKR73_UNTA121FK61,2863
211,Third Degree,0.2125485120654957,Unrelated,,-5.87131123151,3rd-5th degree,OBKR73_WEHR1586,100165
212,Second Degree,0.7029549488119358,Unrelated,,-0.0799069395775,too low coverage,OBKR76_OBKR84,758
213,Third Degree,0.1532760982179866,Unrelated,,-0.724798450498,too low coverage,OBKR76_OBKR95,1249
214,Third Degree,0.1390125923015546,Unrelated,,-0.698678580448,too low coverage,OBKR76_OTTM109,797
215,Third Degree,0.047713759458716254,Unrelated,,-0.849077673193,too low coverage,OBKR76_OTTM97,265
216,Third Degree,0.21361608895045947,Unrelated,,-0.694493763329,too low coverage,OBKR76_POST16,1015
217,Third Degree,0.01767165872888654,Unrelated,,-0.686777873778,too low coverage,OBKR76_POST32,3913
218,Third Degree,0.005215018345893441,Unrelated,,-0.734581363794,too low coverage,OBKR76_UNTA5867,423
219,Third Degree,1.0580416411346505,Unrelated,,-3.48562044751,3rd-5th degree,OBKR80_OBKR81,54650
220,Third Degree,0.4680981661397254,Unrelated,,-6.1443498007,3rd-5th degree,OBKR80_WEHR1586,697607
221,Second Degree,0.3051787635346841,Unrelated,,-0.141912177753,too low coverage,OBKR81_OBKR82,1472
222,Third Degree,0.4309358520197861,Unrelated,,-1.6157297342,too low coverage,OBKR81_UNTA121FK61,2113
223,Third Degree,1.0401994708274742,Unrelated,,-0.811286953358,too low coverage,OBKR82_OBKR86,9590
224,Second Degree,0.5570623353443409,Unrelated,,-0.355364092437,too low coverage,OBKR82_OBKR95,752
225,Third Degree,0.09973796251324528,Unrelated,,-1.28525286795,too low coverage,OBKR82_OBKR96,2172
226,Third Degree,0.053344930816138,Unrelated,,-0.84595499602,too low coverage,OBKR82_OTTM109,527
227,Third Degree,0.2738392422343168,Unrelated,,-1.31807496997,too low coverage,OBKR82_OTTM152,1241
228,Third Degree,0.14619164905866455,Unrelated,,-1.51318391123,too low coverage,OBKR82_POST12,1724
229,Third Degree,0.006871802490991286,Unrelated,,-1.37636154391,too low coverage,OBKR82_POST131,1052
230,Third Degree,0.12982641467982606,Unrelated,,-0.0601434659552,too low coverage,OBKR82_POST16,672
231,Third Degree,0.058937520769859475,Unrelated,,-0.128749273803,too low coverage,OBKR82_POST2,462
232,Unrelated,0.07902216281968323,Second Degree,0.734861151556,-2.55640429414,too low coverage,OBKR82_UNTA58147,3624
233,Third Degree,0.18771882362568704,Unrelated,,-0.526801977568,too low coverage,OBKR82_UNTA58149,630
234,Third Degree,0.07392066081649773,Unrelated,,-1.01990500362,too low coverage,OBKR82_UNTA58152,1594
235,Third Degree,0.04667213870067144,Unrelated,,-0.363854554506,too low coverage,OBKR82_UNTA89FK231,777
236,Third Degree,0.06127598988166483,Unrelated,,-1.72910062592,too low coverage,OBKR82_WEHR1192SkB,5427
237,Third Degree,0.07724786468492084,Unrelated,,-0.171419280646,too low coverage,OBKR82_WEHR1193,1602
238,Second Degree,0.20783121397518306,Unrelated,,-0.0393054533587,too low coverage,OBKR84_OTTM100,291
239,Third Degree,0.021300695471111908,Unrelated,,-0.999443205875,too low coverage,OBKR84_OTTM141A,179
240,Third Degree,0.05052330729407117,Unrelated,,-0.577596627767,too low coverage,OBKR84_POST16,757
241,Third Degree,0.17829298533314386,Unrelated,,-1.06766774879,too low coverage,OBKR84_WEHR1193,1950
242,Third Degree,3.3318901759691935,Unrelated,,-5.60576156282,3rd-5th degree,OBKR86_WEHR1586,446568
243,Third Degree,0.16642370963273834,Unrelated,,-0.162251131433,too low coverage,OBKR95_POST16,1553
244,Third Degree,0.2231626799555784,Unrelated,,-1.61054155688,too low coverage,OBKR95_UNTA89FK231,1679
245,Second Degree,0.34016410815348763,Unrelated,,-0.124384682552,too low coverage,OBKR96_OTTM110,957
246,Second Degree,0.3778631546551878,Unrelated,,-0.206125686814,too low coverage,OBKR96_OTTM141A,733
247,Second Degree,0.19545039380807336,Unrelated,,-0.665327703327,too low coverage,OBKR96_OTTM94,1373
248,Third Degree,0.04016656883015912,Unrelated,,-2.27160510951,too low coverage,OBKR96_UNTA89FK231,4385
249,Third Degree,0.13481707106146246,Unrelated,,-1.03092072268,too low coverage,OTTM100_OTTM152,721
250,Third Degree,0.14517917199268027,Second Degree,0.0907194047696,-1.62721472586,too low coverage,OTTM100_OTTM91,890
251,Third Degree,0.10530763669873976,Unrelated,,-0.871248559126,too low coverage,OTTM100_POST16,433
252,First Degree,0.020085965570146413,Second Degree,0.907654223893,-0.12517883045,too low coverage,OTTM100_POST2,282
253,Third Degree,0.14199605024964512,Unrelated,,-1.05102953836,too low coverage,OTTM100_UNTA851336,1592
254,Third Degree,0.2360275412101487,Unrelated,,-2.06558263471,too low coverage,OTTM109_OTTM81,1173
255,Second Degree,0.13319977988938092,Unrelated,,-0.16298445077,too low coverage,OTTM109_OTTM97,284
256,Third Degree,0.2608654164891959,Unrelated,,-0.994968580192,too low coverage,OTTM109_POST1,1393
257,Third Degree,0.2394962996991694,Unrelated,,-1.26404266748,too low coverage,OTTM109_POST131,1414
258,Third Degree,0.029890194053677988,Unrelated,,-0.621524924188,too low coverage,OTTM109_POST16,860
259,Third Degree,0.09641483470119283,Unrelated,,-1.02429507107,too low coverage,OTTM109_POST2,666
260,Second Degree,0.014879572882392722,Unrelated,,-0.5412883196,too low coverage,OTTM110_OTTM141,357
261,Third Degree,0.004613327558445235,Unrelated,,-0.962304087253,too low coverage,OTTM110_OTTM154,479
262,Third Degree,0.02441563179588968,Unrelated,,-0.357577619967,too low coverage,OTTM110_OTTM79,157
263,Third Degree,0.021927799038387263,Second Degree,0.0877394746522,-0.491534420408,too low coverage,OTTM110_OTTM97,94
264,Third Degree,0.13050892371853706,Unrelated,,-0.672564488832,too low coverage,OTTM110_POST131,521
265,Second Degree,0.14829119195060514,Unrelated,,-0.150891651942,too low coverage,OTTM110_POST2,211
266,Third Degree,0.04338335540182925,Unrelated,,-0.272564927798,too low coverage,OTTM110_POST85,253
267,Third Degree,0.05045903288284137,Unrelated,,-0.867808974722,too low coverage,OTTM110_UNTA58149,277
268,Third Degree,0.08094641601249464,Unrelated,,-0.295065885831,too low coverage,OTTM141_OTTM79,469
269,Third Degree,0.05562552705879399,Unrelated,,-2.08598397554,too low coverage,OTTM141_OTTM81,1687
270,Second Degree,0.008872512165453372,Unrelated,,-0.0319340548913,too low coverage,OTTM141_OTTM91,2985
271,Second Degree,0.2329050688576899,Unrelated,,-0.0741588301056,too low coverage,OTTM141_OTTM97,330
272,Third Degree,0.06741977905460317,Unrelated,,-0.942735836929,too low coverage,OTTM141_POST85,920
273,Second Degree,0.5463052895369174,Unrelated,,-0.191772250208,too low coverage,OTTM141_UNTA5867,488
274,First Degree,0.01397022982899898,Second Degree,0.691304233825,-0.448905048223,too low coverage,OTTM141A_OTTM81,365
275,Third Degree,0.1827662963282819,Unrelated,,-0.906710553809,too low coverage,OTTM141A_OTTM84,1544
276,Third Degree,0.0590263145043366,Unrelated,,-0.626657911187,too low coverage,OTTM141A_OTTM91,576
277,First Degree,0.4995666722262939,Second Degree,0.405082461097,-0.393918551822,too low coverage,OTTM141A_OTTM92,173
278,Second Degree,0.2429797605401518,Unrelated,,-0.581863070895,too low coverage,OTTM141A_POST131,384
279,First Degree,0.28067820859216397,Second Degree,0.81766571189,-0.307172794493,too low coverage,OTTM141A_POST16,346
280,Second Degree,0.021143886539903185,Unrelated,,-0.695821446722,too low coverage,OTTM141A_POST47,423
281,Second Degree,0.1863312349730677,Unrelated,,-0.137308667296,too low coverage,OTTM141A_POST85,189
282,Second Degree,0.2616096492194231,Unrelated,,-0.74452139047,too low coverage,OTTM141A_UNTA58152,600
283,Third Degree,0.028923537243485963,Unrelated,,-1.06640754231,too low coverage,OTTM141A_UNTA58153,1744
284,Third Degree,0.8717070323835969,Unrelated,,-5.78277093664,3rd-5th degree,OTTM151ind1_OTTM156,69832
285,Second Degree,0.5014887439789959,Unrelated,,-0.305211007652,too low coverage,OTTM152_OTTM79,847
286,Third Degree,0.08045188036737727,Unrelated,,-0.921505930977,too low coverage,OTTM152_OTTM92,1060
287,Second Degree,0.09268214333258128,Unrelated,,-1.1303030276,too low coverage,OTTM152_OTTM97,582
288,Third Degree,0.06508260986615255,Unrelated,,-0.432753966487,too low coverage,OTTM154_OTTM92,865
289,Third Degree,0.1447362360163993,Unrelated,,-0.410910348509,too low coverage,OTTM154_OTTM94,644
290,Third Degree,0.03167582813219383,Unrelated,,-0.466664055793,too low coverage,OTTM154_OTTM97,449
291,Third Degree,0.7622690208704057,Unrelated,,-1.56269705951,too low coverage,OTTM154_POST131,2591
292,Third Degree,0.380784597176671,Unrelated,,-0.270388947677,too low coverage,OTTM165_POST16,4439
293,Third Degree,0.023901780677988427,Unrelated,,-0.4564033307,too low coverage,OTTM79_POST131,771
294,Third Degree,0.001964473620262197,Unrelated,,-0.786111938062,too low coverage,OTTM79_WEHR1414,2772
295,Third Degree,0.17819677563855407,Unrelated,,-0.951175999317,too low coverage,OTTM81_OTTM94,581
296,Third Degree,0.3581133250638686,Unrelated,,-0.676069834974,too low coverage,OTTM81_POST85,1058
297,Third Degree,0.1388930214935158,Second Degree,0.456876172595,-1.51133981336,too low coverage,OTTM81_UNTA121FK61,1133
298,Third Degree,0.3636135106938809,Unrelated,,-1.06177084395,too low coverage,OTTM81_UNTA89FK231,1626
299,Third Degree,0.20994876132539275,Unrelated,,-1.31654639587,too low coverage,OTTM84_OTTM94,2732
300,Third Degree,0.1982170055212293,Unrelated,,-0.619490915934,too low coverage,OTTM91_OTTM97,713
301,Third Degree,0.05990469714680556,Unrelated,,-0.5552752309,too low coverage,OTTM91_UNTA121FK61,2010
302,Third Degree,0.05805924043258415,Unrelated,,-0.021455266227,too low coverage,OTTM92_OTTM94,258
303,Third Degree,0.06158081594981012,Unrelated,,-0.840253507314,too low coverage,OTTM92_POST1,967
304,Third Degree,0.3871618024716668,Unrelated,,-1.10288359368,too low coverage,OTTM92_UNTA58152,1419
305,Second Degree,0.22171087116787191,Unrelated,,-0.0650245430696,too low coverage,OTTM92_UNTA5867,282
306,Third Degree,0.14590585313857218,Unrelated,,-0.55982793587,too low coverage,OTTM94_POST1,710
307,Second Degree,0.3419662528519325,Unrelated,,-0.214360495117,too low coverage,OTTM94_POST131,699
308,Third Degree,0.06261882225058457,Unrelated,,-0.909696457481,too low coverage,OTTM94_POST16,520
309,Third Degree,0.1541989948760829,Unrelated,,-0.460213913814,too low coverage,OTTM94_UNTA121FK61,419
310,Third Degree,0.10877657409150744,Unrelated,,-1.88607735246,too low coverage,OTTM94_UNTA851336,1797
311,Third Degree,0.054123636345480015,Unrelated,,-1.3487425983,too low coverage,OTTM94_UNTA89FK231,542
312,Third Degree,0.07601930775541632,Unrelated,,-0.386614271539,too low coverage,OTTM97_POST1,488
313,Second Degree,0.08794729104185706,Unrelated,,-0.257676929453,too low coverage,OTTM97_POST16,317
314,First Degree,0.6070037620481941,IdenticalTwins/SameIndividual,0.525994386297,,too low coverage,OTTM97_POST2,221
315,Second Degree,0.08425856727075143,Unrelated,,-0.107206526857,too low coverage,OTTM97_POST85,237
316,Third Degree,0.09707244780395284,Unrelated,,-0.445566794022,too low coverage,OTTM97_UNTA89FK231,406
317,Third Degree,2.270972351415139,Unrelated,,-4.23149381204,3rd-5th degree,POST1_POST50,40875
318,Third Degree,0.1429200001098252,Unrelated,,-1.55979905118,too low coverage,POST1_UNTA121FK61,1528
319,Third Degree,0.08424683104590258,Unrelated,,-1.52943942382,too low coverage,POST1_UNTA58152,4542
320,Third Degree,0.43267739545814266,Unrelated,,-2.37224296488,too low coverage,POST1_UNTA89FK231,2128
321,Third Degree,0.008621994671671018,Unrelated,,-2.28170714054,too low coverage,POST12_POST16,2628
322,Third Degree,0.09972551035019707,Unrelated,,-1.04921073499,too low coverage,POST131_POST2,1342
323,Second Degree,1.1245426398436391,Unrelated,,-1.30263437149,3rd-5th degree,POST131_POST28,28501
324,Third Degree,0.2680545670002061,Unrelated,,-1.87448785508,too low coverage,POST131_POST47,3423
325,Third Degree,1.821045036063424,Unrelated,,-1.90179655017,too low coverage,POST140_POST85,8784
326,Third Degree,0.11330400146579225,Unrelated,,-0.170501092336,too low coverage,POST16_POST2,816
327,Third Degree,0.07778987437887963,Unrelated,,-1.45225836577,too low coverage,POST16_POST85,841
328,Second Degree,0.265805893319623,Unrelated,,-0.0481480640016,too low coverage,POST16_UNTA121FK61,1060
329,Second Degree,0.46197140569432793,Unrelated,,-0.913195772549,too low coverage,POST16_UNTA89FK231,1329
330,Third Degree,0.017006176690358643,Unrelated,,-1.76127193011,too low coverage,POST2_POST47,1707
331,Third Degree,0.5195727197869928,Unrelated,,-2.86177729301,3rd-5th degree,POST35_POST85,19786
332,Third Degree,0.4261139062672328,Unrelated,,-1.77984349923,3rd-5th degree,POST50_POST85,18548
333,Third Degree,0.050942813950030086,Unrelated,,-1.03645411301,too low coverage,POST85_UNTA58149,825
334,Third Degree,0.049713505297035006,Unrelated,,-0.116431454499,too low coverage,POST85_UNTA5867,367
335,Third Degree,0.1891351076810679,Unrelated,,-0.967601125975,too low coverage,POST85_UNTA89FK231,1108
336,Third Degree,1.0020863703958869,Unrelated,,-0.838020880434,too low coverage,POST85_WEHR1192SkB,7446
337,Third Degree,0.2596397426933095,Unrelated,,-0.889171323274,too low coverage,UNTA121FK61_UNTA58149,884
338,Second Degree,0.07411448242305596,Unrelated,,-0.0678999855114,too low coverage,UNTA121FK61_UNTA89FK231,1184
339,Third Degree,2.377252200808698,Unrelated,,-1.17128601334,too low coverage,UNTA58147_UNTA58152,15001
340,Third Degree,0.10129273760617252,Unrelated,,-1.66384446766,too low coverage,UNTA58147_UNTA89FK231,7252
341,Second Degree,0.7825562930167393,Unrelated,,-1.07863135393,too low coverage,UNTA58149_UNTA58152,2699
342,First Degree,8.993236550435313,Second Degree,4.5410184785,-0.062945750023,too low coverage,UNTA5867_UNTA5868Sk1,8614
343,First Degree,2.518825189738777,Second Degree,4.70484603709,-0.47572689853,too low coverage,UNTA5867_UNTA5868Sk2,10554
344,Third Degree,0.00403485875676779,Unrelated,,-1.43955572115,too low coverage,UNTA5867_UNTA89FK231,584
345,Third Degree,0.12918242918476608,Unrelated,,-5.89455071588,3rd-5th degree,WEHR1414_WEHR1586,176817
